"vertices","sync","async","n^3 log(n)","n^2.3 log(n)"
1,0.000,0.000,0.000,0.000
2,0.002,0.001,0.003,0.005
3,0.006,0.002,0.014,0.020
4,0.015,0.005,0.043,0.049
5,0.029,0.009,0.097,0.094
6,0.056,0.016,0.187,0.160
7,0.089,0.023,0.322,0.247
8,0.142,0.040,0.514,0.360
9,0.189,0.047,0.773,0.498
10,0.297,0.088,1.111,0.665
11,0.406,0.082,1.540,0.862
12,0.613,0.143,2.072,1.092
13,0.811,0.190,2.719,1.355
14,1.057,0.282,3.494,1.653
15,1.599,0.301,4.410,1.988
16,3.442,0.706,5.480,2.361
17,2.752,0.561,6.717,2.773
18,3.238,0.944,8.134,3.227
19,3.431,0.793,9.746,3.722
20,5.557,1.023,11.565,4.261
21,4.646,1.048,13.606,4.845
22,7.808,1.305,15.882,5.474
23,9.622,1.442,18.409,6.151
24,10.571,2.528,21.200,6.876
25,8.395,1.869,24.270,7.649
26,11.464,1.914,27.633,8.474
27,12.587,2.207,31.304,9.349
28,16.309,2.537,35.298,10.277
29,15.339,2.954,39.629,11.258
30,17.558,2.984,44.314,12.293
