"vertices","async","n^2.3 log(n)"
31,3.614,13.384
32,9.003,14.531
33,4.183,15.735
34,4.383,16.998
35,8.122,18.319
36,5.167,19.700
37,9.145,21.142
38,6.508,22.645
39,6.891,24.211
40,11.510,25.840
41,8.947,27.533
42,9.446,29.291
43,10.105,31.115
44,13.306,33.005
45,10.427,34.962
46,13.265,36.987
47,12.963,39.081
48,39.068,41.244
49,14.765,43.478
50,16.560,45.782
51,16.090,48.158
52,24.845,50.606
53,19.742,53.128
54,19.435,55.723
55,22.573,58.392
56,33.770,61.136
57,23.828,63.956
58,23.618,66.853
59,26.436,69.827
60,36.697,72.878
61,29.556,76.007
62,27.938,79.216
63,30.918,82.504
64,116.055,85.872
65,35.359,89.322
