"vertices","asymm","symm","non oriented","n^2.3 log(n)"
1,0.000,0.000,0.000,0.000
2,0.001,0.001,0.001,0.005
3,0.003,0.003,0.002,0.020
4,0.005,0.007,0.005,0.049
5,0.009,0.010,0.009,0.094
6,0.015,0.016,0.015,0.160
7,0.023,0.025,0.023,0.247
8,0.036,0.040,0.036,0.360
9,0.047,0.053,0.047,0.498
10,0.067,0.084,0.066,0.665
11,0.111,0.105,0.110,0.862
12,0.151,0.152,0.151,1.092
13,0.201,0.213,0.202,1.355
14,0.258,0.284,0.258,1.653
15,0.335,0.419,0.335,1.988
16,0.690,0.920,0.676,2.361
17,0.563,0.555,0.559,2.773
18,0.935,0.473,0.933,3.227
19,0.792,1.253,0.787,3.722
20,1.286,1.035,1.404,4.261
21,1.050,1.756,1.046,4.845
22,1.970,1.312,1.306,5.474
23,1.445,2.416,1.433,6.151
24,2.597,2.588,2.576,6.876
25,1.867,2.615,1.862,7.649
26,1.989,3.459,1.994,8.474
27,2.224,2.236,4.021,9.349
28,2.652,2.643,2.666,10.277
29,4.881,2.957,4.317,11.258
30,3.142,3.071,3.145,12.293
31,3.598,3.899,3.599,13.384
32,10.103,9.127,9.279,14.531
33,4.171,7.256,4.213,15.735
34,4.385,6.052,4.395,16.998
35,5.315,5.318,5.315,18.319
