"vertices","asymm","symm","non oriented","n^2.3 log(n)"
1,0.000,0.000,0.000,0.000
2,0.001,0.001,0.001,0.005
3,0.002,0.003,0.003,0.020
4,0.005,0.005,0.005,0.049
5,0.009,0.009,0.009,0.094
6,0.016,0.016,0.016,0.160
7,0.025,0.023,0.022,0.247
8,0.036,0.036,0.036,0.360
9,0.047,0.047,0.048,0.498
10,0.064,0.065,0.064,0.665
11,0.084,0.084,0.084,0.862
12,0.115,0.116,0.116,1.092
13,0.150,0.151,0.152,1.355
14,0.215,0.284,0.216,1.653
15,0.300,0.420,0.298,1.988
16,0.921,0.721,0.925,2.361
17,0.565,0.577,0.580,2.773
18,0.937,0.474,0.939,3.227
19,0.779,1.258,0.778,3.722
20,1.011,1.121,1.020,4.261

